item,ident,depicts,typeLabel,depictsLabel,coords,itemLabel
http://www.wikidata.org/entity/Q21665468,003361781,http://www.wikidata.org/entity/Q3406271,community,Ysbyty Ifan,Point(-3.723 53.021),A group of women from Ysbyty Ifan almshouses
http://www.wikidata.org/entity/Q21665468,003361781,http://www.wikidata.org/entity/Q15548045,,almshouse,,A group of women from Ysbyty Ifan almshouses
http://www.wikidata.org/entity/Q21665468,003361781,http://www.wikidata.org/entity/Q21171811,group of humans,people in poverty,,A group of women from Ysbyty Ifan almshouses
http://www.wikidata.org/entity/Q21665468,003361781,http://www.wikidata.org/entity/Q21171811,high risk group,people in poverty,,A group of women from Ysbyty Ifan almshouses
http://www.wikidata.org/entity/Q21665475,003361511,http://www.wikidata.org/entity/Q3947,type of building,house,,"A house, Llangollen"
http://www.wikidata.org/entity/Q21665472,003363240,http://www.wikidata.org/entity/Q726,taxon,horse,,A horse (Lloyd)
http://www.wikidata.org/entity/Q21665473,003363239,http://www.wikidata.org/entity/Q726,taxon,horse,,A horse (Owen)
http://www.wikidata.org/entity/Q21665478,003365040,http://www.wikidata.org/entity/Q3947,type of building,house,,A house in the midst of trees
http://www.wikidata.org/entity/Q21665479,003365029,http://www.wikidata.org/entity/Q3947,type of building,house,,A house
http://www.wikidata.org/entity/Q21665476,003361576,http://www.wikidata.org/entity/Q3947,type of building,house,,"A house, Montgomery"
http://www.wikidata.org/entity/Q21665477,003365016,http://www.wikidata.org/entity/Q3947,type of building,house,,A house in the middle of trees
http://www.wikidata.org/entity/Q21665510,003365047,http://www.wikidata.org/entity/Q3947,type of building,house,,A horse and carriage outside a house
http://www.wikidata.org/entity/Q21665521,003365192,http://www.wikidata.org/entity/Q177826,social class,clergy,,Y tadau ymneilltuol
http://www.wikidata.org/entity/Q21665521,003365192,http://www.wikidata.org/entity/Q177826,estates of the realm,clergy,,Y tadau ymneilltuol
http://www.wikidata.org/entity/Q21665521,003365192,http://www.wikidata.org/entity/Q177826,social group,clergy,,Y tadau ymneilltuol
http://www.wikidata.org/entity/Q21665521,003365192,http://www.wikidata.org/entity/Q177826,group of humans,clergy,,Y tadau ymneilltuol
http://www.wikidata.org/entity/Q21665521,003365192,http://www.wikidata.org/entity/Q177826,religious group,clergy,,Y tadau ymneilltuol
http://www.wikidata.org/entity/Q21665521,003365192,http://www.wikidata.org/entity/Q177826,estate of the realm,clergy,,Y tadau ymneilltuol
http://www.wikidata.org/entity/Q21665594,003363996,http://www.wikidata.org/entity/Q87167,type of document,manuscript,,A letter to Howell Harris in 1746
http://www.wikidata.org/entity/Q21665594,003363996,http://www.wikidata.org/entity/Q87167,form of creative work,manuscript,,A letter to Howell Harris in 1746
http://www.wikidata.org/entity/Q21665593,(WlAbNL)003381774,http://www.wikidata.org/entity/Q133492,literary genre,letter,,"A letter in the hand of Ellis Wynne, Lasynys (1720)"
http://www.wikidata.org/entity/Q21665593,(WlAbNL)003381774,http://www.wikidata.org/entity/Q133492,literary form,letter,,"A letter in the hand of Ellis Wynne, Lasynys (1720)"
http://www.wikidata.org/entity/Q21665593,(WlAbNL)003381774,http://www.wikidata.org/entity/Q2393642,role,handwriting,,"A letter in the hand of Ellis Wynne, Lasynys (1720)"
http://www.wikidata.org/entity/Q21665602,003361290,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llandyfrumliog"
http://www.wikidata.org/entity/Q21665603,003361942,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llandygwydd"
http://www.wikidata.org/entity/Q21665600,003361573,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llandrinio (Monts)"
http://www.wikidata.org/entity/Q21665601,003361308,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llandyfriog"
http://www.wikidata.org/entity/Q21665606,003362052,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llandysilio (Anglesey) with Britannia Bridge"
http://www.wikidata.org/entity/Q21665607,003362053,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llandysilio (Mon) and Twr y Marcwis"
http://www.wikidata.org/entity/Q21665604,003361445,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llandyrnog"
http://www.wikidata.org/entity/Q21665605,003363884,http://www.wikidata.org/entity/Q16970,type of building,church building,,"Enlli chapel (CM), Bardsey"
http://www.wikidata.org/entity/Q21665605,003363884,http://www.wikidata.org/entity/Q108325,type of building,chapel,,"Enlli chapel (CM), Bardsey"
http://www.wikidata.org/entity/Q21665610,003361902,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llandysul"
http://www.wikidata.org/entity/Q21665611,003361456,http://www.wikidata.org/entity/Q16970,type of building,church building,,"The church, Llanefydd"
http://www.wikidata.org/entity/Q21665337,003363751,http://www.wikidata.org/entity/Q20735679,human,William Thelwall Thomas,,"William Thelwall Thomas (1865-1927), when a young man"
http://www.wikidata.org/entity/Q21665342,003362698,http://www.wikidata.org/entity/Q8441,,man,,Williams Caemawr in 1895
http://www.wikidata.org/entity/Q21665343,003363717,http://www.wikidata.org/entity/Q8441,,man,,"Williams Evans, Brunswick Road"
http://www.wikidata.org/entity/Q21665340,003364533,http://www.wikidata.org/entity/Q20568736,human,William Williams,,"William Williams (Creuddynfab, 1814-69)"
http://www.wikidata.org/entity/Q21665341,003364953,http://www.wikidata.org/entity/Q3397600,human,William Williams Pantycelyn,,"William Williams, Pantycelyn (print)"
http://www.wikidata.org/entity/Q21665346,003363394,http://www.wikidata.org/entity/Q35473,,window,,"Window, Llangernyw church"
http://www.wikidata.org/entity/Q21665347,003364037,http://www.wikidata.org/entity/Q467,,woman,,Woman with spinning wheel
http://www.wikidata.org/entity/Q21665347,003364037,http://www.wikidata.org/entity/Q58966,,spinning wheel,,Woman with spinning wheel
http://www.wikidata.org/entity/Q21665344,003361637,http://www.wikidata.org/entity/Q3403507,village,Llanbrynmair,Point(-3.62745 52.6121),"Williams' house, Llanbryn-mair"
http://www.wikidata.org/entity/Q21665344,003361637,http://www.wikidata.org/entity/Q3403507,community,Llanbrynmair,Point(-3.62745 52.6121),"Williams' house, Llanbryn-mair"
http://www.wikidata.org/entity/Q21665345,003363468,http://www.wikidata.org/entity/Q35473,,window,,"Window in the William Williams memorial chapel, Llanymddyfri"
http://www.wikidata.org/entity/Q21665350,003363992,http://www.wikidata.org/entity/Q16334295,,group of humans,,"Workers at Cae'r Nant quarry, Llithfaen"
http://www.wikidata.org/entity/Q21665351,003361330,http://www.wikidata.org/entity/Q8441,,man,,"Workers at Glyndyfrdwy quarry, Corwen"
http://www.wikidata.org/entity/Q21665351,003361330,http://www.wikidata.org/entity/Q188040,type of mining site,quarry,,"Workers at Glyndyfrdwy quarry, Corwen"
http://www.wikidata.org/entity/Q21665351,003361330,http://www.wikidata.org/entity/Q3406382,village,Glyndyfrdwy,Point(-3.2679 52.9754),"Workers at Glyndyfrdwy quarry, Corwen"
http://www.wikidata.org/entity/Q21665351,003361330,http://www.wikidata.org/entity/Q8034770,literary work,Workers,,"Workers at Glyndyfrdwy quarry, Corwen"
http://www.wikidata.org/entity/Q21665348,003361508,http://www.wikidata.org/entity/Q1002793,town,Llangollen,Point(-3.17 52.97),"Woodlands, Llangollen"
http://www.wikidata.org/entity/Q21665348,003361508,http://www.wikidata.org/entity/Q1002793,community,Llangollen,Point(-3.17 52.97),"Woodlands, Llangollen"
http://www.wikidata.org/entity/Q21665349,003363957,http://www.wikidata.org/entity/Q870,mode of transport,train,,"Workmen's train, Ffestiniog railway"
http://www.wikidata.org/entity/Q21665349,003363957,http://www.wikidata.org/entity/Q881062,town,Blaenau Ffestiniog,Point(-3.9375 52.994444444),"Workmen's train, Ffestiniog railway"
http://www.wikidata.org/entity/Q21665354,003361453,http://www.wikidata.org/entity/Q3401639,village,Henllan,Point(-4.3962 52.0391),"Y Bontnewydd, near Henllan (Dinb)"
http://www.wikidata.org/entity/Q21665352,003363002,http://www.wikidata.org/entity/Q16334295,,group of humans,,"Workers at the weir, Necastle Emlyn"
http://www.wikidata.org/entity/Q21665353,003361716,http://www.wikidata.org/entity/Q16334295,,group of humans,,"Workers of the Hosiery Depot, Llanidloes"
http://www.wikidata.org/entity/Q21665358,003363183,http://www.wikidata.org/entity/Q3402636,village,Y Ffôr,Point(-4.3855 52.925),"Y Ffor (Four Crosses), near Pwllheli"
http://www.wikidata.org/entity/Q21665359,003362762,http://www.wikidata.org/entity/Q2556821,village,Aberdaron,Point(-4.71 52.808),"Y Gegin Fawr, Aberdaron"
http://www.wikidata.org/entity/Q21665359,003362762,http://www.wikidata.org/entity/Q2556821,community,Aberdaron,Point(-4.71 52.808),"Y Gegin Fawr, Aberdaron"
http://www.wikidata.org/entity/Q21665356,003363878,http://www.wikidata.org/entity/Q1991483,island,Bardsey Island,Point(-4.791464 52.756955),"Y Cafn landing place, Bardsey"
http://www.wikidata.org/entity/Q21665357,003362997,http://www.wikidata.org/entity/Q2273077,town,Newcastle Emlyn,Point(-4.47 52.04),"Y castell, Newcastle Emlyn"
http://www.wikidata.org/entity/Q21665357,003362997,http://www.wikidata.org/entity/Q2273077,community,Newcastle Emlyn,Point(-4.47 52.04),"Y castell, Newcastle Emlyn"
http://www.wikidata.org/entity/Q21665362,003363062,http://www.wikidata.org/entity/Q177826,social class,clergy,,Y group Annibynwyr
http://www.wikidata.org/entity/Q21665362,003363062,http://www.wikidata.org/entity/Q177826,estates of the realm,clergy,,Y group Annibynwyr
http://www.wikidata.org/entity/Q21665362,003363062,http://www.wikidata.org/entity/Q177826,social group,clergy,,Y group Annibynwyr
http://www.wikidata.org/entity/Q21665362,003363062,http://www.wikidata.org/entity/Q177826,group of humans,clergy,,Y group Annibynwyr
http://www.wikidata.org/entity/Q21665362,003363062,http://www.wikidata.org/entity/Q177826,religious group,clergy,,Y group Annibynwyr
http://www.wikidata.org/entity/Q21665362,003363062,http://www.wikidata.org/entity/Q177826,estate of the realm,clergy,,Y group Annibynwyr
http://www.wikidata.org/entity/Q21665367,003363055,http://www.wikidata.org/entity/Q177826,social class,clergy,,Y group Methodistiaidd
http://www.wikidata.org/entity/Q21665367,003363055,http://www.wikidata.org/entity/Q177826,estates of the realm,clergy,,Y group Methodistiaidd
http://www.wikidata.org/entity/Q21665367,003363055,http://www.wikidata.org/entity/Q177826,social group,clergy,,Y group Methodistiaidd
http://www.wikidata.org/entity/Q21665367,003363055,http://www.wikidata.org/entity/Q177826,group of humans,clergy,,Y group Methodistiaidd
http://www.wikidata.org/entity/Q21665367,003363055,http://www.wikidata.org/entity/Q177826,religious group,clergy,,Y group Methodistiaidd
http://www.wikidata.org/entity/Q21665367,003363055,http://www.wikidata.org/entity/Q177826,estate of the realm,clergy,,Y group Methodistiaidd
http://www.wikidata.org/entity/Q21665365,003363889,http://www.wikidata.org/entity/Q177826,social class,clergy,,Y group Bedyddwyr (multi-portrait)
http://www.wikidata.org/entity/Q21665365,003363889,http://www.wikidata.org/entity/Q177826,estates of the realm,clergy,,Y group Bedyddwyr (multi-portrait)
http://www.wikidata.org/entity/Q21665365,003363889,http://www.wikidata.org/entity/Q177826,social group,clergy,,Y group Bedyddwyr (multi-portrait)
http://www.wikidata.org/entity/Q21665365,003363889,http://www.wikidata.org/entity/Q177826,group of humans,clergy,,Y group Bedyddwyr (multi-portrait)
http://www.wikidata.org/entity/Q21665365,003363889,http://www.wikidata.org/entity/Q177826,religious group,clergy,,Y group Bedyddwyr (multi-portrait)
http://www.wikidata.org/entity/Q21665365,003363889,http://www.wikidata.org/entity/Q177826,estate of the realm,clergy,,Y group Bedyddwyr (multi-portrait)
http://www.wikidata.org/entity/Q21665370,003361487,http://www.wikidata.org/entity/Q16334295,,group of humans,,Y Gyffylliog school pupils
http://www.wikidata.org/entity/Q21665371,003361872,http://www.wikidata.org/entity/Q3947,type of building,house,,"Y Neuadd, Llandovrey, Vicar Pritchard's old home"
http://www.wikidata.org/entity/Q21665369,003363197,http://www.wikidata.org/entity/Q11093013,village,Cyffylliog,Point(-3.41667 53.1),Y Gyffylliog
http://www.wikidata.org/entity/Q21665369,003363197,http://www.wikidata.org/entity/Q11093013,community,Cyffylliog,Point(-3.41667 53.1),Y Gyffylliog
http://www.wikidata.org/entity/Q21665369,003363197,http://www.wikidata.org/entity/Q16334295,,group of humans,,Y Gyffylliog
http://www.wikidata.org/entity/Q21665374,003361441,http://www.wikidata.org/entity/Q2311675,town,Corwen,Point(-3.379 52.98),"Y Rug, Corwen"
http://www.wikidata.org/entity/Q21665374,003361441,http://www.wikidata.org/entity/Q2311675,community,Corwen,Point(-3.379 52.98),"Y Rug, Corwen"
http://www.wikidata.org/entity/Q21665375,003362214,http://www.wikidata.org/entity/Q177826,social class,clergy,,Y tadau ymneillduol
http://www.wikidata.org/entity/Q21665375,003362214,http://www.wikidata.org/entity/Q177826,estates of the realm,clergy,,Y tadau ymneillduol
http://www.wikidata.org/entity/Q21665375,003362214,http://www.wikidata.org/entity/Q177826,social group,clergy,,Y tadau ymneillduol
http://www.wikidata.org/entity/Q21665375,003362214,http://www.wikidata.org/entity/Q177826,group of humans,clergy,,Y tadau ymneillduol
http://www.wikidata.org/entity/Q21665375,003362214,http://www.wikidata.org/entity/Q177826,religious group,clergy,,Y tadau ymneillduol
http://www.wikidata.org/entity/Q21665375,003362214,http://www.wikidata.org/entity/Q177826,estate of the realm,clergy,,Y tadau ymneillduol
http://www.wikidata.org/entity/Q21665372,003363533,http://www.wikidata.org/entity/Q23413,type of building,castle,,Y Rhiwlas
http://www.wikidata.org/entity/Q21665373,003361371,http://www.wikidata.org/entity/Q2311675,town,Corwen,Point(-3.379 52.98),"Y Rug, Corwen"
http://www.wikidata.org/entity/Q21665373,003361371,http://www.wikidata.org/entity/Q2311675,community,Corwen,Point(-3.379 52.98),"Y Rug, Corwen"
http://www.wikidata.org/entity/Q21665378,003363494,http://www.wikidata.org/entity/Q6661329,village,Llanfaelog,Point(-4.493394851 53.235703086),"Yr eglwys a'r pentref, Llanfaelog"
http://www.wikidata.org/entity/Q21665378,003363494,http://www.wikidata.org/entity/Q6661329,community,Llanfaelog,Point(-4.493394851 53.235703086),"Yr eglwys a'r pentref, Llanfaelog"
http://www.wikidata.org/entity/Q21665377,003362814,http://www.wikidata.org/entity/Q5623909,village,Gwytherin,Point(-3.681 53.139),“Yew tree in Gwytherin church yard”
http://www.wikidata.org/entity/Q21665382,003363277,http://www.wikidata.org/entity/Q203443,information,tombstone,,"Yr Hen Gapel (Cong), Llabryn-mair"
http://www.wikidata.org/entity/Q21665381,003364157,http://www.wikidata.org/entity/Q8441,,man,,"“Yr Hen Gal, Llithfaen”"
http://www.wikidata.org/entity/Q21665386,003361656,http://www.wikidata.org/entity/Q3406271,village,Ysbyty Ifan,Point(-3.723 53.021),Ysbyty Ifan
http://www.wikidata.org/entity/Q21665386,003361656,http://www.wikidata.org/entity/Q3406271,community,Ysbyty Ifan,Point(-3.723 53.021),Ysbyty Ifan
http://www.wikidata.org/entity/Q21665384,003363023,http://www.wikidata.org/entity/Q8441,,man,,"Yr Hen Saer (R Edward), Chwilog"
http://www.wikidata.org/entity/Q21665391,003364612,http://www.wikidata.org/entity/Q8441,,man,,"Zadrack Pert, Llansannan"
http://www.wikidata.org/entity/Q21665388,003362502,http://www.wikidata.org/entity/Q173387,,grave,,"Grave of John Ceiriog Hughes, Llanwnnog"
http://www.wikidata.org/entity/Q21665388,003362502,http://www.wikidata.org/entity/Q203443,information,tombstone,,"Grave of John Ceiriog Hughes, Llanwnnog"
http://www.wikidata.org/entity/Q21665388,003362502,http://www.wikidata.org/entity/Q6661879,village,Llanwnnog,Point(-3.4431 52.5338),"Grave of John Ceiriog Hughes, Llanwnnog"
http://www.wikidata.org/entity/Q21665395,003364970,http://www.wikidata.org/entity/Q3010,,boy,,A boy and a woman
http://www.wikidata.org/entity/Q21665392,003361878,http://www.wikidata.org/entity/Q108325,type of building,chapel,,"Zion Chapel, Llandysul (Cer)"
http://www.wikidata.org/entity/Q21665398,003364013,http://www.wikidata.org/entity/Q12280,bridge by type,bridge,,A bridge
http://www.wikidata.org/entity/Q21665399,003363243,http://www.wikidata.org/entity/Q146,organisms known by a particular common name,cat,,A cat (L Davies)
http://www.wikidata.org/entity/Q21665396,003363220,http://www.wikidata.org/entity/Q3010,,boy,,"A boy riding a donkey, Pembroke"
http://www.wikidata.org/entity/Q21665397,003364958,http://www.wikidata.org/entity/Q3010,,boy,,A boy standing
http://www.wikidata.org/entity/Q21665402,003364776,http://www.wikidata.org/entity/Q7569,population group,child,,A child sitting
http://www.wikidata.org/entity/Q21665402,003364776,http://www.wikidata.org/entity/Q7569,class of human,child,,A child sitting
http://www.wikidata.org/entity/Q21665403,003364914,http://www.wikidata.org/entity/Q7569,population group,child,,A child standing on a chair
http://www.wikidata.org/entity/Q21665403,003364914,http://www.wikidata.org/entity/Q7569,class of human,child,,A child standing on a chair
http://www.wikidata.org/entity/Q21665400,003364629,http://www.wikidata.org/entity/Q108325,type of building,chapel,,A chapel in Liverpool (?) (copy)
http://www.wikidata.org/entity/Q21665401,003365011,http://www.wikidata.org/entity/Q108325,type of building,chapel,,A chapel
http://www.wikidata.org/entity/Q21665406,003363874,http://www.wikidata.org/entity/Q16970,type of building,church building,,A church (stereograph)
http://www.wikidata.org/entity/Q21665407,003361715,http://www.wikidata.org/entity/Q108325,type of building,chapel,,"Saron chapel, Bodedern"
http://www.wikidata.org/entity/Q21665407,003361715,http://www.wikidata.org/entity/Q2135977,,congregation,,"Saron chapel, Bodedern"
http://www.wikidata.org/entity/Q21665407,003361715,http://www.wikidata.org/entity/Q3399236,village,Bodedern,Point(-4.50396298 53.2904),"Saron chapel, Bodedern"
http://www.wikidata.org/entity/Q21665407,003361715,http://www.wikidata.org/entity/Q3399236,community,Bodedern,Point(-4.50396298 53.2904),"Saron chapel, Bodedern"
http://www.wikidata.org/entity/Q21665405,003365052,http://www.wikidata.org/entity/Q7569,population group,child,,A child standing on a chest
http://www.wikidata.org/entity/Q21665405,003365052,http://www.wikidata.org/entity/Q7569,class of human,child,,A child standing on a chest
http://www.wikidata.org/entity/Q21665410,003363806,http://www.wikidata.org/entity/Q7368,organisms known by a particular common name,sheep,,"Sheep mart, Narberth"
http://www.wikidata.org/entity/Q21665410,003363806,http://www.wikidata.org/entity/Q177165,town,Narberth,Point(-4.7423 51.7989),"Sheep mart, Narberth"
http://www.wikidata.org/entity/Q21665410,003363806,http://www.wikidata.org/entity/Q177165,community,Narberth,Point(-4.7423 51.7989),"Sheep mart, Narberth"
http://www.wikidata.org/entity/Q21665410,003363806,http://www.wikidata.org/entity/Q213441,,shop,,"Sheep mart, Narberth"
http://www.wikidata.org/entity/Q21665411,003361177,http://www.wikidata.org/entity/Q108325,type of building,chapel,,A church or chapel in Liverpool (?)
http://www.wikidata.org/entity/Q21665408,003363322,http://www.wikidata.org/entity/Q212198,,pub,,"Outside the inn, Llansawel (1891)"
http://www.wikidata.org/entity/Q21665408,003363322,http://www.wikidata.org/entity/Q256020,,inn,,"Outside the inn, Llansawel (1891)"
http://www.wikidata.org/entity/Q21665408,003363322,http://www.wikidata.org/entity/Q3406111,village,Llansawel,Point(-4.012 52.008),"Outside the inn, Llansawel (1891)"
http://www.wikidata.org/entity/Q21665408,003363322,http://www.wikidata.org/entity/Q3406111,community,Llansawel,Point(-4.012 52.008),"Outside the inn, Llansawel (1891)"
http://www.wikidata.org/entity/Q21665409,003362295,http://www.wikidata.org/entity/Q79007,,street,,"Market street, Newport (Penf) (1899)"
http://www.wikidata.org/entity/Q21665409,003362295,http://www.wikidata.org/entity/Q914291,town,Newport,Point(-4.836069444 52.01975),"Market street, Newport (Penf) (1899)"
http://www.wikidata.org/entity/Q21665409,003362295,http://www.wikidata.org/entity/Q914291,community,Newport,Point(-4.836069444 52.01975),"Market street, Newport (Penf) (1899)"
http://www.wikidata.org/entity/Q21665414,003361140,http://www.wikidata.org/entity/Q5783996,,cottage,,A cottage
http://www.wikidata.org/entity/Q21665415,003363331,http://www.wikidata.org/entity/Q935773,,cromlech,,"A cromlech, Llanbodiy"
http://www.wikidata.org/entity/Q21665413,003362294,http://www.wikidata.org/entity/Q16970,type of building,church building,,A copy of a photograph of Newport (Penf) church in 1860
http://www.wikidata.org/entity/Q21665418,003365012,http://www.wikidata.org/entity/Q7569,population group,child,,A dead child
http://www.wikidata.org/entity/Q21665418,003365012,http://www.wikidata.org/entity/Q7569,class of human,child,,A dead child
http://www.wikidata.org/entity/Q21665417,003365020,http://www.wikidata.org/entity/Q48422,,corpse,,A dead baby
http://www.wikidata.org/entity/Q21665422,003363255,http://www.wikidata.org/entity/Q144,organisms known by a particular common name,dog,,A dog (W Evans)
http://www.wikidata.org/entity/Q21665420,003363252,http://www.wikidata.org/entity/Q144,organisms known by a particular common name,dog,,A dog (Augustine)
http://www.wikidata.org/entity/Q21665421,003363253,http://www.wikidata.org/entity/Q144,organisms known by a particular common name,dog,,A dog (R Roberts)
http://www.wikidata.org/entity/Q21665426,003363344,http://www.wikidata.org/entity/Q7561,type of meteorological phenomenon,snow,,Snow in Llandysul (Cer)
http://www.wikidata.org/entity/Q21665426,003363344,http://www.wikidata.org/entity/Q2193617,town,Llandysul,Point(-4.30949 52.0411),Snow in Llandysul (Cer)
http://www.wikidata.org/entity/Q21665426,003363344,http://www.wikidata.org/entity/Q2193617,community,Llandysul,Point(-4.30949 52.0411),Snow in Llandysul (Cer)
http://www.wikidata.org/entity/Q21665427,003363230,http://www.wikidata.org/entity/Q3537778,organisms known by a particular common name,donkey,,"A donkey belonging to Dr Jones, Llanboidy"
http://www.wikidata.org/entity/Q21665427,003363230,http://www.wikidata.org/entity/Q6661117,village,Llanboidy,Point(-4.5925 51.8792),"A donkey belonging to Dr Jones, Llanboidy"
http://www.wikidata.org/entity/Q21665427,003363230,http://www.wikidata.org/entity/Q6661117,community,Llanboidy,Point(-4.5925 51.8792),"A donkey belonging to Dr Jones, Llanboidy"
http://www.wikidata.org/entity/Q21665424,003361669,http://www.wikidata.org/entity/Q83405,,factory,,"Hughes factory, Llangollen"
http://www.wikidata.org/entity/Q21665424,003361669,http://www.wikidata.org/entity/Q327055,,worker,,"Hughes factory, Llangollen"
http://www.wikidata.org/entity/Q21665424,003361669,http://www.wikidata.org/entity/Q1002793,town,Llangollen,Point(-3.17 52.97),"Hughes factory, Llangollen"
http://www.wikidata.org/entity/Q21665424,003361669,http://www.wikidata.org/entity/Q1002793,community,Llangollen,Point(-3.17 52.97),"Hughes factory, Llangollen"
http://www.wikidata.org/entity/Q21665425,003363135,http://www.wikidata.org/entity/Q152355,profession,cobbler,,"Shoemakers, Trawsfynydd"
http://www.wikidata.org/entity/Q21665425,003363135,http://www.wikidata.org/entity/Q152355,occupation,cobbler,,"Shoemakers, Trawsfynydd"
http://www.wikidata.org/entity/Q21665425,003363135,http://www.wikidata.org/entity/Q3398853,village,Trawsfynydd,Point(-3.923819444 52.902238888),"Shoemakers, Trawsfynydd"
http://www.wikidata.org/entity/Q21665425,003363135,http://www.wikidata.org/entity/Q3398853,community,Trawsfynydd,Point(-3.923819444 52.902238888),"Shoemakers, Trawsfynydd"
http://www.wikidata.org/entity/Q21665430,003363667,http://www.wikidata.org/entity/Q6249473,human,John Morris-Jones,,Sir John Morris-Jones
http://www.wikidata.org/entity/Q21665431,003362752,http://www.wikidata.org/entity/Q2556821,village,Aberdaron,Point(-4.71 52.808),"A door in the old church, Aberdaron"
http://www.wikidata.org/entity/Q21665431,003362752,http://www.wikidata.org/entity/Q2556821,community,Aberdaron,Point(-4.71 52.808),"A door in the old church, Aberdaron"
http://www.wikidata.org/entity/Q21665428,003363224,http://www.wikidata.org/entity/Q3537778,organisms known by a particular common name,donkey,,A donkey
http://www.wikidata.org/entity/Q21665434,003361883,http://www.wikidata.org/entity/Q8436,type of social group,family,,A family group in front of house (Evans)
http://www.wikidata.org/entity/Q21665435,003362110,http://www.wikidata.org/entity/Q8436,type of social group,family,,A family group in front of the house
http://www.wikidata.org/entity/Q21665432,003364096,http://www.wikidata.org/entity/Q8441,,man,,A Evans (Cymro)
http://www.wikidata.org/entity/Q21665433,003364618,http://www.wikidata.org/entity/Q8436,type of social group,family,,A family group (Jones) (1883)
http://www.wikidata.org/entity/Q21665438,003365030,http://www.wikidata.org/entity/Q331432,profession,fisher,,A fisherman
http://www.wikidata.org/entity/Q21665438,003365030,http://www.wikidata.org/entity/Q331432,occupation,fisher,,A fisherman
http://www.wikidata.org/entity/Q21665439,003364828,http://www.wikidata.org/entity/Q8441,,man,,A framed photograph of a young man
http://www.wikidata.org/entity/Q21665436,003364910,http://www.wikidata.org/entity/Q8436,type of social group,family,,A family outside a house
http://www.wikidata.org/entity/Q21665437,003363993,http://www.wikidata.org/entity/Q3947,type of building,house,,A farmhouse
http://www.wikidata.org/entity/Q21665442,003364955,http://www.wikidata.org/entity/Q3031,,girl,,A girl holding a flower
http://www.wikidata.org/entity/Q21665443,003364957,http://www.wikidata.org/entity/Q3031,,girl,,A girl standing
